times,theta_mu,theta_var,range_mu,range_var
1398179942.736367,-1.5055481753306335,9.48375472210836e-07,1.8737041095335185,0.0006634067431647508
1398179942.833902,-1.50172973372114,1.3888900206440347e-06,1.873393499736556,0.0006429444987635947
1398179942.93791,-1.497827871669934,9.496651351616249e-07,1.874054366698567,0.0006445856977822078
1398179943.039749,-1.4943863774464028,1.0247341096707561e-06,1.874106976814449,0.0006393961162396468
1398179943.152686,-1.4901429111459958,1.9675703094282677e-06,1.8738868558236335,0.0006156164204678125
1398179943.270963,-1.4859879007243253,1.0421349109100371e-06,1.8738272797550686,0.000624094532867061
1398179943.384321,-1.4817523476984704,1.9086973207855786e-06,1.8750297029832752,0.0006313400202243539
1398179943.502131,-1.47793501607343,6.094573995204586e-07,1.8758955677148552,0.0006180764404660233
1398179943.600353,-1.4740521299666653,1.9040629714586789e-06,1.8762185307967723,0.0006005334169492501
1398179943.703131,-1.469872927843515,9.524519840969802e-07,1.876985261293692,0.0005883724862883785
1398179943.800105,-1.466702304058034,5.808489501434501e-07,1.8772991950424232,0.0005779525159993575
1398179943.900504,-1.4635770680369282,9.654599789612896e-07,1.8770272505163468,0.000585006812481397
1398179944.008162,-1.4597079924634184,1.3971634170492885e-06,1.8770294490800274,0.0005728030770564087
1398179944.122715,-1.4555324561744891,1.3671716416513886e-06,1.8772724013806583,0.0005254819090085128
1398179944.239876,-1.4509521916898434,1.9073021838384124e-06,1.877234963879864,0.0005050596654412499
1398179944.342418,-1.4464286298608597,1.4727571066468502e-06,1.876271146038491,0.0004734916275176449
1398179944.453893,-1.4422195470154007,1.40465839414533e-06,1.8758385968078068,0.0004135283471408854
1398179944.574179,-1.4380181131357321,1.4680555033068921e-06,1.8757655301848548,0.0003650117577738597
1398179944.703869,-1.4338189126291025,1.4014742723542488e-06,1.8745326424665343,0.0003635944242529393
1398179944.824167,-1.4296171456052342,1.4809625608359432e-06,1.8731900976099205,0.0003538617729746589
1398179944.928138,-1.425791971925386,9.11698308500157e-07,1.8728283295751,0.00036794778393354555
1398179945.024074,-1.4219180314119821,1.4255491905361988e-06,1.8716162965165073,0.0003522856800831737
1398179945.147889,-1.4177337193783752,1.3564889763381136e-06,1.8707862406168263,0.00030222508957258024
1398179945.269691,-1.4128156898009883,2.555362245883893e-06,1.8692717445775835,0.0002983323612378176
1398179945.400244,-1.407583275698655,1.9736367908196427e-06,1.8689500552336344,0.0003005973620371238
1398179945.532023,-1.4026778139126936,1.9411320757621394e-06,1.8685803215286114,0.0003073535336941201
1398179945.653759,-1.3984791333769193,9.963269890848681e-07,1.8667832989292017,0.0002770464317230801
